시군구명,업소명,업종명,소재지도로명주소,연락처,객실수
평창군,프라임존,펜션,강원도 평창군 봉평면 흥정계곡길422,070-8878-6640,2
평창군,이담민박,펜션,강원도 평창군 평창읍 매화길181-56,070-8805-4403,1
강릉시,파인힐 애견펜션,민박,강원도 강릉시 연곡면 동해대로 4371-27,070-7764-7258,1
화천군,딴산노을,민박,강원도 화천군 간동면 어룡동길 404,070-7761-6281,5
고성군,천진낭만,펜션,강원도 고성군 토성면 천진해변길 35-2,070-7361-2684,6
동해시,쌍둥이하우스,펜션,강원도 동해시 추암택지길 55 (추암동),070-4250-4246,6
인제군,아침햇살,민박,강원도 인제군 상남면 내린천로 2164-25,070-4225-4006,2
철원군,미르-B,민박,강원도 철원군 갈말읍 순담길 314,070-4204-5971,4
화천군,알프스펜션 A,민박,강원도 화천군 간동면 어룡동길 342-4,070-4197-3089,8
화천군,알프스펜션 B,민박,강원도 화천군 간동면 어룡동길 342-6,070-4197-3089,7
강릉시,하늘정원,민박,강원도 강릉시 옥계면 도직길 49-2,070-4147-4830,6
춘천시,힐링로드,민박,강원도 춘천시 남산면 서백길 745,070-4111-6690,4
강릉시,라카이샌드파인,펜션,강원도 강릉시 해안로 536 (안현동),033-820-7307,206
원주시,소나무민박,민박,강원도 원주시 신림면 도원운학로 965-6,033-766-1501,4
원주시,버들치민박,민박,강원도 원주시 신림면 송계리 284-5,033-765-7090,3
원주시,써니힐 민박,민박,강원도 원주시 신림면 송계리 333-15,033-765-4610,4
원주시,산처럼물처럼,민박,강원도 원주시 부론면 단강리 63-4,033-765-3279,2
원주시,치악명성민박,민박,강원도 원주시 신림면 성남로 142,033-765-1095,5
원주시,미륵산계곡꿈의궁전마을,민박,강원도 원주시 귀래면 미륵산길 177-42,033-765-0688,4
원주시,치악산관광농원,펜션,강원도 원주시 신림면 소야1길 72,033-764-9971,14
원주시,버들민박,민박,강원도 원주시 신림면 버들치길 26,033-764-2779,4
원주시,천남민박,민박,강원도 원주시 신림면 신림황둔로 1238,033-764-2057,6
원주시,건강원민박,민박,강원도 원주시 신림면 송계로 8,033-764-1275,6
원주시,서마니관광농원,펜션,강원도 원주시 신림면 송계로 375,033-764-1139,7
원주시,서마니관광농원,민박,강원도 원주시 신림면 송계리 324-3,033-764-1139,6
원주시,별바라기팬션,펜션,강원도 원주시 신림면 송계로 401,033-764-0858,4
원주시,별바라기펜션,민박,강원도 원주시 신림면 송계로 401,033-764-0858,5
원주시,구학산방민박,민박,강원도 원주시 신림면 방학동길 181,033-763-9576,1
원주시,호연지기민박,민박,강원도 원주시 신림면 무시정길 22,033-763-9139,2
원주시,우리농장,펜션,강원도 원주시 신림면 종림길 154,033-763-9002,3
원주시,남수민박,민박,강원도 원주시 신림면 절골길 40,033-763-7111,1
원주시,하늘아래펜션,펜션,강원도 원주시 판부면 영원산성길 169,033-763-6663,18
원주시,700고지,민박,강원도 원주시 신림면 방학동길 192-16,033-763-6143,5
원주시,채락산장,민박,강원도 원주시 신림면 성남로 465,033-763-5544,3
원주시,쌍학정민박,민박,강원도 원주시 판부면 영원산성길 26,033-763-4423,3
원주시,두성농원,펜션,강원도 원주시 신림면 둔창예찬길 315,033-763-4134,2
원주시,두성농원,민박,강원도 원주시 신림면 둔창예찬길 315,033-763-4134,2
원주시,소롯길민박,민박,강원도 원주시 신림면 성남로 457,033-763-4071,3
원주시,약수민박,민박,강원도 원주시 신림면 성남로 253,033-763-3638,2
