관광안내소명,안내소위치명,시도명,시군구명,안내소소개,부가서비스정보,휴무일,운영시작시각(하절기),운영종료시각(하절기),운영시작시각(동절기),운영종료시각(동절기),평균근무인원수,영어안내가능여부,일본어안내가능여부,중국어안내가능여부,안내가능외국어,안내소전화번호,소재지도로명주소,소재지지번주소,운영기관명,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
영덕관광안내소,신재생에너지 전시관 옆 건물,경상북도,영덕군,관광홍보물 배부 및 관내 관광지 안내,컴퓨터이용,설날 및 추석당일,09:00,17:00,09:00,16:00,3,N,Y,N,일본어,054-730-6651,경상북도 영덕군 영덕읍 해맞이길 254-20,경상북도 영덕군 영덕읍 창포리 329-3,경상북도 영덕군청,tour.yd.go.kr/,36.422692,129.4197162126,2020-07-15,5180000,경상북도 영덕군
저동관광안내소,울릉 저동항,경상북도,울릉군,,,연중무휴,09:00,18:00,09:00,18:00,1, , , ,,054-791-6629,,경상북도 울릉군 울릉읍 저동리 48-7,경상북도 울릉군청,www.ulleung.go.kr,37.4962437940,130.9097507762,2020-12-31,5260000,경상북도 울릉군
도동관광안내소,울릉 도동소공원,경상북도,울릉군,,,연중무휴,09:00,18:00,09:00,18:00,2, , , ,,054-790-6454,,경상북도 울릉군 울릉읍 도동리 89,경상북도 울릉군청,www.ulleung.go.kr,37.48210646,130.9078936,2020-12-31,5260000,경상북도 울릉군
광명시관광안내소,KTX광명역 3번출구앞,경기도,광명시,광명시 관광 안내,,연중무휴,09:00,18:00,09:00,18:00,1,N,N,N,,02-898-9053,경기도 광명시 광명역로 21,경기도 광명시 일직동 276-8,경기도광명시청,http://www.gm.go.kr/tr,37.41636491,126.8848764,2020-12-18,3900000,경기도 광명시
광명동굴 이동형 관광안내소,광명동굴 빛의광장,경기도,광명시,광명시 관광 안내,,매주 월요일 휴무,09:00,18:00,09:00,18:00,1,N,N,N,,070-4288-3362,경기도 광명시 가학로85번길 142,경기도 광명시 가학동 27,경기도광명시청,http://www.gm.go.kr/tr,37.4246783,126.8634298,2020-12-18,3900000,경기도 광명시
인천국제공항 관광안내소(동편),공항 T1,인천광역시,중구,인천 관광 종합 안내,"전자기기 충전, 구급약품, 안전용품, 체험이벤트 운영",연중무휴,07:00,22:00,07:00,22:00,1,Y,Y,Y,,032-743-0013,인천광역시 중구 공항로 271 (운서동),인천광역시 중구 운서동 2851,인천광역시청,http://itour.incheon.go.kr,37.4476103404,126.4523477602,2020-01-12,6280000,인천광역시
인천국제공항 관광안내소(서편),공항 T1,인천광역시,중구,인천 관광 종합 안내,"전자기기 충전, 구급약품, 안전용품, 체험이벤트 운영",연중무휴,07:00,22:00,07:00,22:00,1,Y,Y,Y,,032-743-0011,인천광역시 중구 공항로 271 (운서동),인천광역시 중구 운서동 2851,인천광역시청,http://itour.incheon.go.kr,37.4476103404,126.4523477602,2020-01-12,6280000,인천광역시
인천국제공항 관광안내소(2터미널),공항 T2,인천광역시,중구,인천 관광 종합 안내,"전자기기 충전, 구급약품, 안전용품, 체험이벤트 운영",연중무휴,07:00,22:00,07:00,22:00,1,Y,Y,Y,,032-743-0030,인천광역시 중구 제2터미널대로 444 (운서동),인천광역시 중구 운서동 2868,인천광역시청,http://itour.incheon.go.kr,37.4702313000,126.4322012235,2020-01-12,6280000,인천광역시
월미도 관광안내소,월미도,인천광역시,중구,인천 관광 종합 안내,"휠체어 대여, 유모차 대여, 전자기기 충전, 구급약품, 수화물 보관, PC검색대 운영, 무료인터넷, 안전용품, 체험이벤트 운영","설날, 추석",09:00,18:00,09:00,18:00,2,Y,Y,Y,,032-765-4169,인천광역시 중구 월미문화로36 (북성1가),인천광역시 중구 북성동 1가 98-6,인천광역시청,http://itour.incheon.go.kr,37.47531795,126.597575,2020-01-12,6280000,인천광역시
인천종합관광안내소,송도,인천광역시,연수구,인천 관광 종합 안내,"휠체어 대여, 유모차 대여, 전자기기 충전, 구급약품, 수화물 보관, 사진인화 서비스, 기념품 판매, 카페 운영, 무료인터넷, WIFI, 안전용품, 체험이벤트 운영","설날, 추석",09:00,20:00,09:00,18:00,2,Y,Y,Y,,032-832-3031,인천광역시 연수구 인천타워대로234 (송도동),인천광역시 연수구 송도동 24-7,인천광역시청,http://itour.incheon.go.kr,37.39234422,126.6360437,2020-01-12,6280000,인천광역시
태종대,동삼동,부산광역시,영도구,,,월화수목금,10:00,17:00,10:00,17:00,4,N,Y,Y,일본어중국어,051-405-2004,부산광역시 영도구 전망로 24,,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.05969333,129.0798061,2020-10-06,B552974,부산관광공사
해동용궁사,기장읍,부산광역시,기장군,,,월화수목금,10:00,17:00,10:00,17:00,2,N,N,N,없음,051-722-7744,부산광역시 기장군 기장읍 용궁길 86,,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.18823786,129.223244,2020-10-06,B552974,부산관광공사
UN평화기념관,대연동,부산광역시,남구,,,월화수목금,10:00,17:00,10:00,17:00,3,Y,N,N,영어,051-901-1408,부산광역시 남구 홍곡로320번길 106,,부산광역시,https://www.visitbusan.net/index.do?menuCd=DOM_000000204015000000,35.1247524714,129.093268,2020-10-06,B552974,부산관광공사
